entity,P2963
Q5354269,23821
Q5592199,1435
Q5571483,14233
Q5983264,3006
Q6129189,1328
Q6170376,139009
Q6377109,15299
Q7023886,130651
Q7029863,182932
Q7039100,225773
Q7284388,186933
Q7491487,165049
Q7781648,11890
Q8073350,29792
Q12061004,10179
Q15149216,237385
Q15970544,163828
Q19804523,1983868
Q22003390,324693
Q47507739,3357
Q51032974,159361
Q54826619,2868202
Q55287632,1074827
Q55545239,32606
Q66311716,124983
Q1290,10994
Q26876,1036517
Q32732,7064545
Q37278,7146749
Q38203,7275
Q41683,957
Q53672,74876
Q44461,1194
Q44647,127314
Q52249,1144000
Q53325,149539
Q106397001,18219
Q110574111,116513
Q124396279,15887
Q486063,359013
Q553449,2056
Q706222,1756
Q93372697,237144
Q123389,229884
Q313254,22595
Q296047,16593
Q322060,1886
Q304874,27855
Q312641,22996
Q321071,2735
Q356575,144497
Q337103,12833
Q376271,90812
Q370235,18520
Q351280,12319
Q378807,23113
Q368363,27523
Q382604,29919
Q426582,1124
Q450868,9558
Q450737,20560
Q454970,13271
Q459333,12496
Q466623,163381
Q454748,13369
Q457208,135528
Q505274,31234
Q542425,245590
Q652425,20028
Q663928,3061
Q690286,27088
Q713788,18143
Q736123,16943
Q762364,20953
Q768394,1641
Q896846,14610
Q965456,14220
Q1173222,44306
Q1138996,2121
Q1159127,1539
Q1194910,11507
Q1351554,13681
Q1386992,865
Q1341654,13391
Q1366957,116833
Q1446683,21616
Q1515266,14004
Q1703300,43959
Q1688997,8733
Q2068218,93901
Q2146982,175317
Q2299024,48348
Q2283199,159700
Q2442597,5686
Q2915618,37519
Q2966328,130835
Q3178910,2402
Q3131983,17297
Q3264909,17699
Q3476757,19526
Q3675120,16114
Q3703112,1934
Q3805881,1155821
Q4762483,2868
Q4940683,146070
Q5200153,5411
Q5236152,20104
Q5302119,173991
Q6171588,4160
Q6134023,147799
Q6185985,61920
Q6241824,22899
Q6306437,1332
Q6830034,1795
Q7360342,193654
Q7659694,18959
Q7937788,13014
Q7976884,151703
Q22958622,10907
Q28828538,99117
Q47117216,2876
Q47115633,120837
Q47125125,19388
Q55439476,169844
Q56285709,178651
Q66810125,132559
Q93266135,20669
Q96747577,482746
Q111029160,6976
Q112462898,210000
Q121778,8055
Q179695,10838
Q200639,141425
Q273843,870
Q296069,17434
Q311757,14187
Q357114,7970
Q363810,8835
Q354148,14635
Q358188,1612
Q371922,7620
Q423597,10022
Q432575,10442
Q3704362,11349
Q3981441,59549
Q4679655,11137
Q4818553,87495
Q4954313,5088
Q5112808,57052
Q5271160,67119
Q5354218,108548
Q5571471,50188
Q6096163,70540
Q6135723,57491
Q6289738,91091
Q28939944,50477
Q905,5223
Q3335,3706
Q7197,5548
Q9381,14424
Q9372,5870
Q9554,29874
Q19673,5658
Q25649,59314
Q34189,4026
Q41166,1831
Q44183,306
Q56008,5773
Q95985206,521
Q112488146,67276
Q114010300,893
Q188225,74367
Q467482,36860
Q474194,2845
Q504025,2862
Q504698,32402
Q622232,45922
Q643408,33526
Q706516,39088
Q715796,3101
Q739820,280917
Q912443,52050
Q977522,26111
Q978959,50026
Q1074614,24189
Q1101957,27417
Q1130896,34990
Q1159062,38235
Q1237187,39158
Q1240040,4745
Q1337241,261872
Q1349245,43626
Q1378375,4145
Q1440868,36852
Q1700782,33359
Q2468256,27847
Q3035314,31028
Q3154938,36709
Q3168992,29621
Q3194058,324680
Q3262139,478378
Q4529813,31252
Q6883392,253585
Q7488885,49177
Q7649020,258758
Q7789827,28145
Q9013602,37820
Q55940083,40827
Q8237,31054
Q30875,3565
Q36591,5152
Q37388,50964
Q43293,4128
Q49081,3956
Q96912401,47409
Q97128833,39959
Q109679075,24897
Q77208,321472
Q76727,281443
Q92635,2918937
Q92942,16625697
Q93023,25169
Q107728,220380
Q123080,204004
Q160534,1742
Q174210,25824
Q180377,1377
Q202878,259666
Q262561,21625
Q263599,28674
Q266173,25422
Q273677,29542
Q284560,35548
Q287828,2976
Q297538,2687
Q298242,22648
Q298221,26372
Q327186,17515
Q439096,241123
Q445740,15201
Q469737,4007
Q726622,31233
Q761453,148613
Q1044175,18130
Q1233018,128040
Q1375486,37982
Q1385774,137553
Q1563821,13843
Q1655513,25281
Q1682677,4049
Q2163721,39412
Q2273582,3098
Q3083655,2745510
Q3166976,144062
Q3384752,204703
Q3812966,22528
Q4766718,22552
Q5257637,135536
Q6152339,3526
Q6396896,33908
Q6499933,278138
Q6513741,30062
Q7614549,39829
Q15453874,139229
Q21512147,17152
Q23040523,20451700
Q47114461,138096
Q56266819,33529
Q61294050,24081
Q6711,4261
Q18143,25708
Q34981,16667
Q60070,28031
Q61220,38392
Q93372338,15229
Q100982259,130330
Q76509,14706
Q79969,15591
Q123392,33958
Q152690,3532
Q153670,4187
Q161955,54133
Q176049,3490
Q188848,3513865
Q191966,6618
Q193346,22339
Q196560,141538
Q237235,4046
Q241392,5550
Q260560,48885
Q270635,7622
Q273873,24588
Q294625,23012
Q310900,29437
Q313593,4030
Q314269,29970
Q357970,4043
Q364264,26932
Q382101,49680
Q439292,6492
Q500546,34758
Q508452,26006
Q542933,221556
Q543701,43822
Q560735,7385
Q621791,54854
Q686493,16679
Q714250,24846
Q729994,33985
Q730347,19589
Q778711,25421
Q898083,708702
Q929788,32131
Q979208,72077
Q1079574,179908
Q1181143,43988
Q1796614,6365
Q1807864,30612
Q1890404,36857
Q1971168,24830
Q2293838,48435
Q2718849,17799
Q3193467,19169
Q3903157,684701
Q4704764,26813
Q4766481,157647
Q5262157,18321
Q5562222,318705
Q6172391,193548
Q6195030,48260
Q6232897,42993
Q6515483,37718
Q6766303,35022
Q9025151,42500
Q15054617,51215
Q15432632,36046
Q15458882,17940
Q16107447,41110
Q47126859,692702
Q58932654,348952
Q63486380,2105737
Q45351,591041
Q106811080,239090
Q109939113,30213
Q111188622,29787
Q15055900,1163
Q77008,8644
Q125827,4857
Q138850,59323
Q160456,5863103
Q162269,75330
Q162917,9144
Q202122,58124
Q219780,5237
Q224113,5293
Q227113,8268
Q234122,44295
Q242166,72467
Q252896,52051
Q253926,7491
Q259364,7973
Q275328,7710
Q299965,7508
Q322261,41773
Q333251,59542
Q336081,50948
Q347912,63913
Q355066,65819
Q368831,9016
Q438558,5456
Q438776,53597
Q448983,71082
Q454630,42170
Q506231,57501
Q520109,5260
Q533505,8567
Q534258,686
Q555572,4939
Q607861,47383
Q680728,6499
Q681012,7111
Q727331,4174
Q809012,7609
Q979465,86475
Q1396780,51121
Q1702027,56125
Q1995311,4522
Q2125259,63460
Q2936230,46498
Q3034382,772753
Q3849499,51914
Q3891128,40471
Q4354867,55323
Q4733401,56224
Q5121119,75512
Q5234293,69379
Q5415276,84907
Q5981963,7227
Q6221010,441674
Q6768457,61614
Q6830363,42136
Q6930890,424746
Q7184812,74742
Q7317547,52114
Q7383160,7825
Q7934461,75319
Q13430271,55943
Q18603111,6845
Q40736296,4101394
Q52191134,68593
Q17457,64941
Q28494,54427
Q43523,54428
Q47162,41495
Q47087,7779
Q47619,55397
Q57389,45706
Q120513636,59874
Q78509,30681
Q66893,44606
Q90002,313880
Q93620,8349
Q134456,35258
Q134942,4176632
Q123928,50933
Q77428,242895
Q79025,4345
Q81685,61023
Q181677,346732
Q169566,9494
Q171091,4764
Q174181,387976
Q179097,973924
Q180626,5773308
Q181659,874602
Q185002,822775
Q191305,128771
Q192912,10917
Q193257,126575
Q132589,34773
Q215868,7380
Q238514,68481
Q178403,5687
Q188954,18542
Q189642,193296
Q262274,9738
Q264283,49625
Q193156,47237
Q272610,4178
Q302910,51936
Q292463,5932
Q313185,23001
Q297079,46810
Q241398,23879
Q333632,33620
Q268371,32279
Q269129,19708
Q349945,48873
Q361653,7995
Q368263,11664
Q436664,12407
Q470302,93575
Q483325,40648
Q478217,122886
Q537898,8661
Q709951,70323
Q712675,5129
Q706856,13652
Q742079,112947
Q912791,45897
Q919277,51422
Q963799,10765
Q983544,10331
Q1307719,85500
Q1631875,13792
Q1701683,4387
Q2263705,6684
Q2503610,7172
Q2662673,25084
Q2919671,132420
Q3339739,287650
Q3430446,10088
Q3561777,54041
Q3591180,1000809
Q3783449,51490
Q3929711,610320
Q4956857,708421
Q6078237,77011
Q6730288,58605
Q6830775,53405
Q7183928,90099
Q7647610,55081
Q7906293,13466
Q8002411,727273
Q13431211,81669
Q15453597,111745
Q16186721,300837
Q56849873,55612
Q835,3873
Q9353,51746
Q38392,3535
Q38757,26853
