entity,P172
Q45449477,Q42740
Q45449607,Q42740
Q45449605,Q42740
Q45449668,Q42740
Q45449732,Q42740
Q20062478,Q42740
Q45442730,Q42740
Q45442859,Q42740
Q45442974,Q42740
Q45442985,Q42740
Q45443048,Q42740
Q45443099,Q42740
Q45443236,Q42740
Q45443362,Q42740
Q45443410,Q42740
Q45443425,Q42740
Q45443550,Q42740
Q45443601,Q42740
Q45443869,Q42740
Q45444060,Q42740
Q45444120,Q42740
Q45438455,Q42740
Q45438517,Q42740
Q45438643,Q42740
Q45438708,Q42740
Q45439238,Q42740
Q45439276,Q42740
Q45439301,Q42740
Q45439463,Q42740
Q45439486,Q42740
Q45439587,Q42740
Q45439671,Q42740
Q45445702,Q42740
Q45445797,Q42740
Q45445889,Q42740
Q45445954,Q42740
Q45446023,Q42740
Q45446085,Q42740
Q45446146,Q42740
Q45446210,Q42740
Q45446273,Q42740
Q45446384,Q42740
Q45446461,Q42740
Q45446511,Q42740
Q45446526,Q42740
Q45446573,Q42740
Q45446654,Q42740
Q45446719,Q42740
Q45446843,Q42740
Q45446968,Q42740
Q45449857,Q42740
Q45449920,Q42740
Q45449957,Q42740
Q45449976,Q42740
Q45450046,Q42740
Q45450103,Q42740
Q45450173,Q42740
Q45450234,Q42740
Q45450299,Q42740
Q45450358,Q42740
Q45450365,Q42740
Q45450492,Q42740
Q45450547,Q42740
Q45450616,Q42740
Q45450617,Q42740
Q45450679,Q42740
Q45450738,Q42740
Q45450745,Q42740
Q45450868,Q42740
Q45450930,Q42740
Q45450992,Q42740
Q45451184,Q42740
Q45439710,Q42740
Q45439771,Q42740
Q45439921,Q42740
Q45440082,Q42740
Q45440103,Q42740
Q45440235,Q42740
Q45440271,Q42740
Q45440396,Q42740
Q45440485,Q42740
Q45440582,Q42740
Q45440709,Q42740
Q45440896,Q42740
Q45440923,Q42740
Q45441022,Q42740
Q45441149,Q42740
Q45447006,Q42740
Q45447030,Q42740
Q45447074,Q42740
Q45447093,Q42740
Q45447136,Q42740
Q45447155,Q42740
Q45447261,Q42740
Q45447281,Q42740
Q45447318,Q42740
Q45447386,Q42740
Q45447407,Q42740
Q45447472,Q42740
Q45447512,Q42740
Q45447534,Q42740
Q45447575,Q42740
Q45447633,Q42740
Q45447764,Q42740
Q45447826,Q42740
Q45447836,Q42740
Q45447890,Q42740
Q45447911,Q42740
Q45447952,Q42740
Q45448138,Q42740
Q45448159,Q42740
Q45448263,Q42740
Q45448284,Q42740
Q45451240,Q42740
Q45451245,Q42740
Q45451363,Q42740
Q45451486,Q42740
Q45451555,Q42740
Q45451558,Q42740
Q45451612,Q42740
Q45451747,Q42740
Q45451933,Q42740
Q45452099,Q42740
Q45452177,Q42740
Q45452285,Q42740
Q45452301,Q42740
Q45452475,Q42740
Q45452617,Q42740
Q45452664,Q42740
Q45452723,Q42740
Q45465142,Q42740
Q45465273,Q42740
Q45465585,Q42740
Q45465776,Q42740
Q45465901,Q42740
Q45466006,Q42740
Q45466132,Q42740
Q45466284,Q42740
Q45466539,Q42740
Q45466602,Q42740
Q45466665,Q42740
Q45466788,Q42740
Q45466887,Q42740
Q45466950,Q42740
Q45457818,Q42740
Q45457834,Q42740
Q45457888,Q42740
Q45457952,Q42740
Q45458456,Q42740
Q45458646,Q42740
Q45458720,Q42740
Q45458772,Q42740
Q45458899,Q42740
Q45459098,Q42740
Q45459162,Q42740
Q45596243,Q42740
Q45596333,Q42740
Q45459419,Q42740
Q45459677,Q42740
Q45459739,Q42740
Q45459926,Q42740
Q45460180,Q42740
Q45460365,Q42740
Q45460430,Q42740
Q45460428,Q42740
Q45460493,Q42740
Q45460619,Q42740
Q45460616,Q42740
Q45460683,Q42740
Q45452791,Q42740
Q45452921,Q42740
Q45453108,Q42740
Q45453439,Q42740
Q45453565,Q42740
Q45453754,Q42740
Q45453753,Q42740
Q45454011,Q42740
Q45454128,Q42740
Q45454408,Q42740
Q45454448,Q42740
Q45454660,Q42740
Q45454850,Q42740
Q45454914,Q42740
Q45454997,Q42740
Q45455062,Q42740
Q45455092,Q42740
Q45455230,Q42740
Q45455294,Q42740
Q45455358,Q42740
Q45455450,Q42740
Q45455472,Q42740
Q45455535,Q42740
Q45455613,Q42740
Q45455677,Q42740
Q45455739,Q42740
Q45455863,Q42740
Q45436569,Q42740
Q45436616,Q42740
Q45436632,Q42740
Q45436813,Q42740
Q45436953,Q42740
Q45437135,Q42740
Q45437261,Q42740
Q45437317,Q42740
Q45437323,Q42740
Q45437630,Q42740
Q45437700,Q42740
Q45468607,Q42740
Q45468737,Q42740
Q45468835,Q42740
Q45468925,Q42740
Q45468990,Q42740
Q45469092,Q42740
Q45469119,Q42740
Q45469491,Q42740
Q45469502,Q42740
Q45469687,Q42740
Q45469822,Q42740
Q45469941,Q42740
Q45470067,Q42740
Q45470077,Q42740
Q45470131,Q42740
Q45470153,Q42740
Q45456045,Q42740
Q45456055,Q42740
Q45456107,Q42740
Q45456298,Q42740
Q45456427,Q42740
Q45456437,Q42740
Q45456628,Q42740
Q45456681,Q42740
Q45456741,Q42740
Q45456805,Q42740
Q45456931,Q42740
Q45457135,Q42740
Q45457268,Q42740
Q45457571,Q42740
Q45462400,Q42740
Q45462630,Q42740
Q45462671,Q42740
Q45462735,Q42740
Q45462800,Q42740
Q45462882,Q42740
Q45463070,Q42740
Q45463179,Q42740
Q45463319,Q42740
Q45463365,Q42740
Q45463482,Q42740
Q45463486,Q42740
Q45463490,Q42740
Q45463615,Q42740
Q45460872,Q42740
Q45460876,Q42740
Q45460956,Q42740
Q45461058,Q42740
Q45461063,Q42740
Q45461123,Q42740
Q45461190,Q42740
Q45461248,Q42740
Q45461317,Q42740
Q45461582,Q42740
Q45461647,Q42740
Q45461709,Q42740
Q45461761,Q42740
Q45461834,Q42740
Q45462086,Q42740
Q45608486,Q42740
Q45606810,Q42740
Q45609621,Q42740
Q45470294,Q42740
Q45470484,Q42740
Q45470611,Q42740
Q45470717,Q42740
Q45470827,Q42740
Q45470995,Q42740
Q45471122,Q42740
Q45471146,Q42740
Q45471210,Q42740
Q45471250,Q42740
Q45471466,Q42740
Q45471505,Q42740
Q45471524,Q42740
Q45471587,Q42740
Q45471618,Q42740
Q45471630,Q42740
Q45476430,Q42740
Q45476522,Q42740
Q45476555,Q42740
Q45476684,Q42740
Q45476712,Q42740
Q45476977,Q42740
Q45476999,Q42740
Q45477125,Q42740
Q45477143,Q42740
Q45477168,Q42740
Q45477250,Q42740
Q45477808,Q42740
Q45477864,Q42740
Q45620143,Q42740
Q45478068,Q42740
Q45478327,Q42740
Q45478587,Q42740
Q45478843,Q42740
Q45479161,Q42740
Q45479421,Q42740
Q45479546,Q42740
Q45479643,Q42740
Q45471757,Q42740
Q45471841,Q42740
Q45471882,Q42740
Q45471904,Q42740
Q45471967,Q42740
Q45472008,Q42740
Q45472032,Q42740
Q45472199,Q42740
Q45472287,Q42740
Q45472352,Q42740
Q45472392,Q42740
Q45472588,Q42740
Q45472716,Q42740
Q45472843,Q42740
Q45472864,Q42740
Q45472880,Q42740
Q45472973,Q42740
Q45473009,Q42740
Q45473038,Q42740
Q45473118,Q42740
Q45467075,Q42740
Q45467232,Q42740
Q45467266,Q42740
